iter	Accuracy	MultiClass
0	0.5827810601	1.713836674
1	0.5997013479	1.524120882
2	0.5984028607	1.403907399
3	0.5983479247	1.312243036
4	0.5981681341	1.243887322
5	0.5998062257	1.189255727
6	0.6028227115	1.147005164
7	0.6042011057	1.109770211
8	0.6075721784	1.078528547
9	0.6082164279	1.051697624
10	0.6095498744	1.030248132
11	0.6092352409	1.012771223
12	0.6103988853	0.9961637151
13	0.6120419711	0.9825999774
14	0.6127861042	0.9722093601
15	0.6130258249	0.9630351138
16	0.6136800627	0.9557104009
17	0.6140196671	0.9487084363
18	0.6137899347	0.9432234247
19	0.6147887711	0.937994572
20	0.6148936489	0.9338914355
21	0.6155129274	0.9304278577
22	0.6159973631	0.926703801
23	0.6162071187	0.9235590362
24	0.6163968976	0.9211696278
25	0.6166865602	0.9190875418
26	0.6173457922	0.9162800406
27	0.6175755245	0.9146005171
28	0.6182347565	0.9126491231
29	0.6181798205	0.9114174798
30	0.6187841165	0.9097787233
31	0.6188889943	0.9088061
32	0.6189539187	0.9076330983
33	0.6191337092	0.9062246768
34	0.619153686	0.9056616373
35	0.6192485754	0.9049906799
36	0.6194932903	0.9041233889
37	0.6195232554	0.9032654214
38	0.619733011	0.9026802818
39	0.6201675049	0.9019488668
40	0.6201575165	0.9011620295
41	0.6204621616	0.9007336167
42	0.6207817892	0.9001886801
43	0.6209016496	0.8995822567
44	0.6208517078	0.8986327431
45	0.620831731	0.8980084877
46	0.6208467136	0.8976323887
47	0.6207668067	0.8972526725
48	0.6208567019	0.8970699761
49	0.6208517078	0.8966834947
50	0.620996539	0.8963756617
51	0.6211363761	0.8959404216
52	0.6213111725	0.8956412394
53	0.621216283	0.8953621093
54	0.6213061783	0.8950482705
55	0.6214210445	0.8947404496
56	0.6214110561	0.8944287931
57	0.621490963	0.8941672241
58	0.6216457827	0.8938843117
59	0.6216308001	0.8937354282
60	0.6217456663	0.8934533727
61	0.6218255732	0.8930907565
62	0.6220652939	0.8927855431
63	0.6220802765	0.8926340172
64	0.6221951427	0.8923454122
65	0.6222850379	0.8921658995
66	0.6223999041	0.8917329942
67	0.6224448517	0.8914878881
68	0.6224848052	0.8913426638
69	0.6224997877	0.8911251595
70	0.6225846888	0.8909875264
71	0.622589683	0.890785498
72	0.6224997877	0.8905892045
73	0.6225247587	0.8904287218
74	0.6225197645	0.8902398648
75	0.6224698227	0.8900632284
76	0.6225747005	0.8898143586
77	0.6226695899	0.8896899933
78	0.622644619	0.8895710874
79	0.6228194154	0.889387779
80	0.6228343979	0.8892332785
81	0.6228743514	0.8891118574
82	0.6229242932	0.8889834349
83	0.6229892176	0.8887659705
84	0.6229692408	0.8886273384
85	0.623029171	0.8885279395
86	0.6230491477	0.8883646144
87	0.6231240605	0.8881529352
88	0.6231640139	0.8879363833
89	0.6231540256	0.8877757359
90	0.623193979	0.8876497035
91	0.6231839907	0.8875613965
92	0.6232688917	0.8874938392
93	0.6234336997	0.8873039849
94	0.623468659	0.887147065
95	0.6235985077	0.8870943092
96	0.6236933972	0.8869701299
97	0.6237782983	0.8868172643
98	0.6238432226	0.8866815753
99	0.6238582052	0.8865987717
100	0.6237583216	0.8863743416
101	0.6238482168	0.8862562778
102	0.6240030365	0.8861758854
103	0.6241878212	0.8860550884
104	0.6241928154	0.8859545092
105	0.6241978096	0.8858684887
106	0.6242177863	0.885756707
107	0.6241978096	0.8856452232
108	0.6241728386	0.8855037502
109	0.6242177863	0.8853926437
110	0.6242777165	0.885288856
111	0.6243925826	0.8851962083
112	0.6243825943	0.8851066155
113	0.6243526292	0.8849781551
114	0.6244275419	0.8848619698
115	0.6244375303	0.8847927332
116	0.6244974605	0.8846783987
117	0.6246123266	0.8845967579
118	0.6245623848	0.8845462337
119	0.6246872394	0.88444032
120	0.6247271928	0.884354902
121	0.6248021055	0.8842543323
122	0.6249419426	0.8841348231
123	0.6248470532	0.884023495
124	0.6248670299	0.8838970781
125	0.6249319543	0.8838186662
126	0.6249569252	0.8837110711
127	0.6249469368	0.8836358936
128	0.6249369485	0.8835360364
129	0.6249968786	0.8834715309
130	0.6251067506	0.883376851
131	0.6250917681	0.8832775422
132	0.625061803	0.8831914335
133	0.6251467041	0.8831131922
134	0.6251666808	0.8830263486
135	0.6253065179	0.8829656008
136	0.6253464714	0.8828645029
137	0.625336483	0.8827602195
138	0.6252865412	0.8827023639
139	0.6253464714	0.8826413232
140	0.6254163899	0.8825673321
141	0.6252865412	0.8824856282
142	0.6254014074	0.8824076326
143	0.6254613375	0.8823291539
144	0.6253714423	0.8821808973
145	0.6254863085	0.8820427666
146	0.6255112794	0.8819054116
147	0.6256161572	0.8818038713
148	0.6256611048	0.8817386513
149	0.6259008255	0.881602985
150	0.6258658663	0.8815278608
151	0.6259008255	0.8814523445
152	0.6259507674	0.8813509826
153	0.6259557615	0.8812537705
154	0.6258908372	0.8812198451
155	0.6259307906	0.881152067
156	0.6259357848	0.8810939865
157	0.6259807324	0.8809894588
158	0.6259757383	0.8808719466
159	0.6260156917	0.8808258136
160	0.6260806161	0.8807849564
161	0.6261355521	0.8807336288
162	0.6261105812	0.880677187
163	0.6261804997	0.8806034093
164	0.6261655172	0.8805206501
165	0.6261755055	0.8804627646
166	0.6261755055	0.8804246359
167	0.6261804997	0.8803864815
168	0.6261505346	0.8803188173
169	0.6261954823	0.8802408905
170	0.626160523	0.8801463957
171	0.6260906044	0.8800573803
172	0.6261755055	0.8800059218
173	0.6262304415	0.8799647486
174	0.6264601739	0.879883154
175	0.6265101157	0.8798421589
176	0.6265400808	0.8797556998
177	0.6264501855	0.8796716897
178	0.6265550634	0.8796202417
179	0.6266599412	0.8795493468
180	0.6267348539	0.8794728588
181	0.6266599412	0.8794077284
182	0.6267298597	0.8793573704
183	0.6268247492	0.8792964324
184	0.6268497201	0.8792555126
185	0.6269096503	0.879187192
186	0.6270345048	0.8791031396
187	0.6270494873	0.8790607044
188	0.6270145281	0.8789946537
189	0.6270345048	0.8789461502
190	0.6270245164	0.8788832071
191	0.6271044233	0.8788090579
192	0.6272242837	0.8787585727
193	0.6273191732	0.8787105904
194	0.6273341557	0.8786480763
195	0.6273940859	0.8785911276
196	0.6274140626	0.8785281452
197	0.6273890917	0.8784614197
198	0.6274490219	0.8783992582
199	0.6275439113	0.8783377259
200	0.6276338066	0.8782840028
201	0.6276288124	0.8782035094
202	0.6276887426	0.8781316699
203	0.627753667	0.8780817535
204	0.6276637717	0.8780487573
205	0.6277336903	0.878005433
206	0.6276787543	0.8779182873
207	0.6277137135	0.8778587459
208	0.6277187077	0.8778030623
209	0.6277986146	0.8777184619
210	0.6278285797	0.877652481
211	0.6278385681	0.8775907508
212	0.6278235855	0.8775535152
213	0.6278685332	0.877505567
214	0.6279334575	0.8774765737
215	0.6278885099	0.8774266804
216	0.627973411	0.8773764704
217	0.6279584284	0.8773209388
218	0.6279234692	0.8772722892
219	0.6279833993	0.8772088851
220	0.6279684168	0.8771715582
221	0.627918475	0.8771362797
222	0.6278984982	0.877105941
223	0.6279484401	0.8770728884
224	0.6279134808	0.8770066104
225	0.6278835157	0.87694668
226	0.6278585448	0.8768999975
227	0.6279434459	0.8768419152
228	0.6279684168	0.876779427
229	0.6280333412	0.8767387299
230	0.6280183586	0.876698287
231	0.628083283	0.8766479933
