iter	Passed	Remaining
0	136	68325
1	274	68253
2	414	68624
3	540	66997
4	682	67535
5	804	66263
6	939	66150
7	1080	66458
8	1207	65866
9	1342	65784
10	1494	66451
11	1630	66309
12	1784	66834
13	1936	67216
14	2099	67899
15	2244	67889
16	2407	68412
17	2566	68718
18	2725	68987
19	2874	68994
20	3022	68935
21	3150	68449
22	3284	68124
23	3416	67753
24	3535	67172
25	3685	67193
26	3827	67052
27	3949	66575
28	4090	66440
29	4220	66127
30	4356	65909
31	4479	65511
32	4610	65246
33	4747	65075
34	4855	64507
35	4979	64177
36	5106	63897
37	5238	63684
38	5352	63268
39	5491	63150
40	5627	63000
41	5753	62743
42	5889	62589
43	6030	62500
44	6170	62387
45	6299	62168
46	6421	61887
47	6538	61574
48	6665	61354
49	6787	61090
50	6915	60882
51	7058	60811
52	7210	60810
53	7340	60624
54	7457	60334
55	7590	60178
56	7723	60024
57	7861	59911
58	7981	59657
59	8114	59508
60	8238	59286
61	8367	59114
62	8498	58949
63	8623	58749
64	8756	58603
65	8886	58433
66	9017	58279
67	9145	58100
68	9270	57905
69	9397	57726
70	9533	57604
71	9656	57400
72	9785	57237
73	9901	56998
74	10035	56866
75	10160	56684
76	10297	56569
77	10426	56412
78	10549	56221
79	10680	56073
80	10824	55993
81	10944	55792
82	11069	55612
83	11195	55443
84	11323	55283
85	11435	55047
86	11585	54997
87	11707	54812
88	11847	54710
89	11989	54616
90	12109	54428
91	12229	54235
92	12346	54033
93	12486	53932
94	12613	53772
95	12732	53582
96	12877	53499
97	13013	53380
98	13132	53192
99	13251	53007
100	13385	52877
101	13519	52753
102	13638	52567
103	13760	52394
104	13888	52245
105	14025	52130
106	14162	52017
107	14289	51866
108	14415	51709
109	14541	51556
110	14683	51458
111	14802	51278
112	14926	51119
113	15060	50993
114	15190	50853
115	15331	50752
116	15455	50593
117	15572	50413
118	15696	50256
119	15830	50129
120	15957	49984
121	16097	49877
122	16241	49781
123	16370	49640
124	16507	49522
125	16637	49385
126	16779	49280
127	16901	49120
